"Virus","Family","Baltimore","Virion","Host","Function","ViralProtein","Receptor","Type","HostExpression","VirusTropism","EntryMode"
"Lymphocytic choriomeningitis virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodents, Human","Entry?","Glycoprotein complex","CLEC4G (LSECtin)","lectin","Dendritic cells, macrophages, sinusoidal endothelial cells of the liver and lymph node","Dendritic cells","Macropinocytosis?"
"Lymphocytic choriomeningitis virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodents, Human","Entry?"," virion membrane phosphatidylserine","Tyro3 (TAM family)","Receptor","brain?","Dendritic cells","Macropinocytosis?"
"Lymphocytic choriomeningitis virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodents, Human","Entry?"," virion membrane phosphatidylserine","AXL (TAM family)","Receptor","Dendritic cells, macrophages?","Dendritic cells","Macropinocytosis?"
"Machupo virus","Arenaviridae, Arenavirus","ss-RNA","Env","Rodent, Human","Entry","Glycoprotein complex","Transferin receptor (TFRC)","Receptor","Monocytes, lymphocytes, erythrocytes","?","Clathrin-mediated endocytosis"
"Measles virus","Paramyxoviridae, Morbilivirus","ss-RNA","Env","Human","Adhesion","Hemagglutinin","DC-SIGN","lectin","Dendritic cells","Primary: Dendritic cells, secondary:lymphocytes and  neurons, tertiary:airway epithelial cells","Fusion with host cell membrane"
"Measles virus","Paramyxoviridae, Morbilivirus","ss-RNA","Env","Human","Entry","Hemagglutinin","SLAMF1","Receptor","Lymphocytes","Primary: Dendritic cells, secondary:lymphocytes and  neurons, tertiary:airway epithelial cells","Fusion with host cell membrane"
"Measles virus","Paramyxoviridae, Morbilivirus","ss-RNA","Env","Human","Entry","Hemagglutinin","Nectin 4 (PVRL4)","Adhesion molecule","adherens junction of epithelial tissue or the chemical synapse of neurons","Primary: Dendritic cells, secondary:lymphocytes and  neurons, tertiary:airway epithelial cells","Fusion with host cell membrane"
"Cultured Measles virus","Paramyxoviridae, Morbilivirus","ss-RNA","Env","Cell culture","Entry","Hemagglutinin","CD46","Complement receptor","","airway epithelial cells, lymphocytes and dendritic cells, neurons","Fusion with host cell membrane"
"Nipah virus","Paramyxoviridae, Henipavirus","ss-RNA","Env","Bats, Human","Entry","Glycoprotein G","EFNB2","Receptor","endothelial cells and neurons","endothelial cells and neurons","Clathrin-mediated endocytosis"
"Nipah virus","Paramyxoviridae, Henipavirus","ss-RNA","Env","Bats, Human","Entry","Glycoprotein G","EFNB3","Receptor","neurons","endothelial cells and neurons","Clathrin-mediated endocytosis"
"Hendra virus","Paramyxoviridae, Henipavirus","ss-RNA","Env","Bats, Horse, Human","Entry","Glycoprotein G","EFNB2","Receptor","endothelial cells and neurons","endothelial cells and neurons","Clathrin-mediated endocytosis"
"Hendra virus","Paramyxoviridae, Henipavirus","ss-RNA","Env","Bats, Horse, Human","Entry","Glycoprotein G","EFNB3","Receptor","neurons","endothelial cells and neurons","Clathrin-mediated endocytosis"
"Newcastle disease virus","Paramyxoviridae, Avulavirus","ss-RNA","Env","Chicken","Adhesion","Hemagglutinin-neuraminidase HN","2,3 and 2,6 Sialic acids","Carbohydrate","?","gastrointestinal tract, lungs, brain, spleen, liver, and kidneys","?"
"Rabies virus","Rhabdoviridae, Lyssavirus","ss-RNA","Env","Human, mammals","Entry","Glycoprotein G","nAChR?","Receptor","neurons","neurons, salivary glands","Clathrin-mediated endocytosis"
"Rabies virus","Rhabdoviridae, Lyssavirus","ss-RNA","Env","Human, mammals","Entry","Glycoprotein G","NCAM1","Adhesion molecule","neurons, glia, skeletal muscle and natural killer cells","neurons, salivary glands","Clathrin-mediated endocytosis"
"Respiratory syncytial virus","Paramyxoviridae, Pneumovirus","ss-RNA","Env","Human","Adhesion","Glycoprotein G","DC-SIGN","Lectin","Dendritic cells","primary: upper respiratory epithelium secondary: lower respiratory epithelium, alveolar macrophages, myeloid dendritic cells","Macropinocytosis"
"Respiratory syncytial virus","Paramyxoviridae, Pneumovirus","ss-RNA","Env","Human","Adhesion","Glycoprotein G","Heparan sulfate","Carbohydrate","?","primary: upper respiratory epithelium secondary: lower respiratory epithelium, alveolar macrophages, myeloid dendritic cells","Macropinocytosis"
"Rinderpest virus","Paramyxoviridae, Morbilivirus","ss-RNA","Env","Bovine, ovine, swine","Entry","Hemagglutinin","SLAMF1","Receptor","Lymphocytes","lymphocytes","?"
"Sendai virus","Paramyxoviridae, Respirovirus","ss-RNA","Env","Rodents","Entry","Hemagglutinin","Sialic acids","Carbohydrate","?","epithelium airway cells","Fusion with host cell membrane? or endocytosis?"
"Vesicular stomatitis virus","Rhabdoviridae, Vesiculovirus","ss-RNA","Env","Mammals","Entry","Glycoprotein","LDLR family","Receptor","adrenal gland, Liver, lung, gastroinstestinal tract","?","Clathrin-mediated endocytosis"
"Feline leukemia virus A","Retroviridae, gammaretrovirus","RT","Env","Felidae","Entry","Envelope glycoprotein","SLC19A2(Pit2)","Transporter","?","Lymphocytes?","?"
"Feline leukemia virus B","Retroviridae, gammaretrovirus","RT","Env","Felidae","Entry","Envelope glycoprotein","SLC20A1(Pit1)", SLC20A2(Pit2)","Transporter"," Muscle. placenta, heart, liver and kidney.","Lymphocytes?","Fusion with host cell membrane"
"Feline leukemia virus C","Retroviridae,gammaretrovirus","RT","Env","Felidae","Entry","Envelope glycoprotein","FLVCR1","Transporter","Lymphocytes","Lymphocytes?","Fusion with host cell membrane"
"Feline leukemia virus T","Retroviridae, gammaretrovirus","RT","Env","Felidae","Entry","Envelope glycoprotein","FeLIX","endogenous retrovirus surface protein","Lymphocytes","T-Lymphocytes?","Fusion with host cell membrane"
"Feline leukemia virus T","Retroviridae, gammaretrovirus","RT","Env","Felidae","Entry","Envelope glycoprotein","SLC20A1(Pit1)","Transporter"," Muscle. placenta, heart, liver and kidney","T-Lymphocytes","Fusion with host cell membrane"
"Gibbon ape leukemia virus","Retroviridae, gammaretrovirus","RT","Env","Apes","Entry","Envelope glycoprotein","SLC20A1(Pit1)","Transporter","Muscle. placenta, heart, liver and kidney","Lymphocytes","Fusion with host cell membrane"
"Murine leukemia virus","Retroviridae, gammaretrovirus","RT","Env","Rodent","Entry","Envelope glycoprotein","SLC19A2(Pit2)","Transporter","?","Lymphocyte","Fusion with host cell membrane"
"Endogenous murine type C ecotropic retrovirus","Retroviridae, gammaretrovirus","RT","Env","Mouse","Entry","Envelope glycoprotein","Slc7a1(CAT1)","Transporter","Skin, pancreas, gastrointestinal tract","?","Caveolin-mediated endocytosis"
"Endogenous xenotropic and polytropic murine leukemia virus","Retroviridae, gammaretrovirus","RT","Env","Mouse","Entry","Envelope glycoprotein","XPR1","Transporter","?","?","Fusion with host cell membrane"
"Endogenous subgroup A avian leukosis and sarcoma virus","Retroviridae, alpharetrovirus","RT","Env","Chicken","Entry","Envelope glycoprotein","Tva","Receptor","?","Mostly lymphocytes","?"
"Endogenous subgroup B, D and E avian leukosis and sarcoma virus","Retroviridae, alpharetrovirus","RT","Env","Chicken","Entry","Envelope glycoprotein","Tvb","Receptor","?","Mostly lymphocytes","?"
"Bovine leukemia virus","Retroviridae, deltaretrovirus","RT","Env","Bovine, Ovine","Entry","Envelope glycoprotein","AP3D1(BLVR)","?","?","B lymphocytes","?"
"Mouse mammary tumor virus","Retroviridae, betaretrovirus","RT","Env","Mouse","Entry","Envelope glycoprotein","Transferin receptor (TFRC)","Receptor","Monocytes, lymphocytes, erythrocytes","primary: macrophages in Peyer s patches of the gastrointestinal tracts, secondary B and T lymphocytes","Fusion with host cell membrane"
"Spleen necrosis virus","Retroviridae, gammaretrovirus","RT","Env","Duck","Entry","Envelope glycoprotein","SLC1A5","Transporter","Ubiquitous","?","?"
"HIV-1","Retroviridae, lentivirus","RT","Env","Human","Adhesion","Envelope gp120","CD4","Receptor"," T-lymphocytes, macrophages, dendritic cells","T-lymphocytes","Clathrin-mediated endocytosis"
"HIV-1","Retroviridae, lentivirus","RT","Env","Human","Adhesion","Envelope gp120","DC-SIGN","Lectin","Dendritic cells","T-lymphocytes","Clathrin-mediated endocytosis"
"HIV-1","Retroviridae, lentivirus","RT","Env","Human","Adhesion","Envelope gp120","CLEC4M(L-SIGN)","Lectin","liver sinusoidal endothelial cells and lymph node","T-lymphocytes","Clathrin-mediated endocytosis"
"HIV-1","Retroviridae, lentivirus","RT","Env","Human","Adhesion","Envelope gp120","Heparan sulfate","Carbohydrate","?","T-lymphocytes","Clathrin-mediated endocytosis"
"HIV-1","Retroviridae, lentivirus","RT","Env","Human","Adhesion","Envelope gp120","?","Glycosphingolipid","?","T-lymphocytes","Clathrin-mediated endocytosis"
"HIV-1","Retroviridae, lentivirus","RT","Env","Human","Adhesion","Host ICAM1","LFA+: Integrin &alpha;L, &beta;2","Adhesion molecule","Lymphocytes","T-lymphocytes","Clathrin-mediated endocytosis"
"HIV-1","Retroviridae, lentivirus","RT","Env","Human","Entry","Envelope gp120","CCR5","Receptor"," T-lymphocytes, macrophages, dendritic cells","T-lymphocytes","Clathrin-mediated endocytosis"
"HIV-1","Retroviridae, lentivirus","RT","Env","Human","Entry","Envelope gp120","CXCR4","Receptor","Lymphocytes","T-lymphocytes","Clathrin-mediated endocytosis"
"Simian immunodeficiency virus","Retroviridae, lentivirus","RT","Env","Apes","Adhesion","Envelope glycoprotein","CD4","Receptor"," T-lymphocytes, macrophages, dendritic cells","T-lymphocytes","?"
"Feline immunodefficiency virus","Retroviridae, lentivirus","RT","Env","Felidae","Adhesion","Envelope glycoprotein","TNFRSF4","Receptor","Lymphocyte","T4-Lymphocyte","?"
"Feline immunodefficiency virus","Retroviridae, lentivirus","RT","Env","Felidae","?","Envelope glycoprotein","CXCr4","Receptor","Lymphocytes","T4-Lymphocyte","?"
"Hepatitis B virus","Hepadnaviridae, Orthohepadnavirus","RT","Env","Human","Adhesion","Large envelope protein","Heparan sulfate","Carbohydrate","?","Hepatocyte","Caveolin-mediated endocytosis"
"Hepatitis B virus","Hepadnaviridae, Orthohepadnavirus","RT","Env","Human","Adhesion","Large envelope protein","SLC10A1(NTCP)","Transporter","hepatocyte","Hepatocyte","Caveolin-mediated endocytosis"
"Hepatitis B virus","Hepadnaviridae, Orthohepadnavirus","RT","Env","Human","Adhesion","Large envelope protein","Mannose receptor(MRC1)","Receptor","Macrophages, dendritic cells, dermal fibroblasts and keratinocytes","Hepatocyte","Caveolin-mediated endocytosis"
"Avian hepatitis B virus","Hepadnaviridae, Avihepadnavirus","RT","Env","Birds","Entry","Large envelope protein","Carboxypeptidase D","Peptidase","?","hepatocyte","Caveolin-mediated endocytosis"
"Hepatitis D virus","'Deltavirus'","cssRNA","Env","Human","Adhesion","Large envelope protein","Heparan sulfate","Carbohydrate","?","Hepatocyte","Caveolin-mediated endocytosis"
"Hepatitis D virus","'Deltavirus'","cssRNA","Env","Human","Adhesion","Large envelope protein","SLC10A1(NTCP)","Transporter","hepatocyte","Hepatocyte","Caveolin-mediated endocytosis"
"Hepatitis D virus","'Deltavirus'","cssRNA","Env","Human","Adhesion","Large envelope protein","Mannose receptor(MRC1)","Receptor","Macrophages, dendritic cells, dermal fibroblasts and keratinocytes","Hepatocyte","Caveolin-mediated endocytosis"
